contacto,categoria,subcategoria,concepto,tipo_prestacion,fecha_ingreso,domicilio_barrio,domicilio_calle,domicilio_altura,canal,genero,estado_del_contacto
00525388/18,TRÁNSITO,DENUNCIA VIAL,VEHÍCULO MAL ESTACIONADO,DENUNCIA,2018-04-05,CABALLITO,VIEL,549,App,masculino,Cerrado
00525389/18,ARBOLADO Y ESPACIOS VERDES,PODA DE ÁRBOL Y DESPEJE DE LUMINARIA,PODA DE ÁRBOL/DESPEJE DE LUMINARIA O SEMÁFORO,SOLICITUD,2018-04-05,VILLA ORTÚZAR,DE LOS INCAS AV.,,147,femenino,Cerrado
00525390/18,TRÁNSITO,DENUNCIA VIAL,VEHÍCULO MAL ESTACIONADO,DENUNCIA,2018-04-05,COLEGIALES,OLLEROS,3207,App,femenino,Cerrado
00525391/18,TRÁMITES Y SERVICIOS,SERVICIOS DEL GCBA,SOLICITUD DE PARTIDAS,SERVICIO,2018-04-05,VILLA DEVOTO,"LAMARCA, EMILIO",5295,Web,masculino,Cerrado
00525392/18,TRÁMITES Y SERVICIOS,TRÁMITES ANTE GCBA,SOLICITUD DE PAGO VOLUNTARIO DE INFRACCIONES,SERVICIO,2018-04-05,COLEGIALES,"LACROZE, FEDERICO AV.",2413,Web,masculino,Abierto
00525393/18,ALUMBRADO,REPARACIÓN DE LUMINARIA,REPARACIÓN DE LUMINARIA APAGADA DURANTE LA NOCHE,SOLICITUD,2018-04-05,RETIRO,"ALVEAR, MARCELO T. DE",700,147,femenino,Cerrado
00525394/18,LIMPIEZA Y RECOLECCIÓN,RESIDUOS VOLUMINOSOS,RETIRO DE RESTOS DE JARDINERÍA DOMICILIARIA,SERVICIO,2018-04-05,NUEVA POMPEYA,TRAFUL,3659,147,femenino,Cerrado
00525395/18,TRÁMITES Y SERVICIOS,SERVICIOS DEL GCBA,SOLICITUD DE PARTIDAS,SERVICIO,2018-04-05,BOEDO,"CALVO, CARLOS AV.",3879,Web,masculino,Cerrado
00525397/18,TRÁMITES Y SERVICIOS,TRÁMITES ANTE GCBA,SOLICITUD DE PAGO VOLUNTARIO DE INFRACCIONES,SERVICIO,2018-04-05,PATERNAL,SAN MARTIN AV.,2803,Web,femenino,Abierto
00525398/18,LIMPIEZA Y RECOLECCIÓN,CESTOS Y CONTENEDORES,VACIADO DE CAMPANA VERDE,SOLICITUD,2018-04-05,PARQUE CHAS,LA PAMPA,5574,147,masculino,Cerrado
00632305/18,TRÁNSITO,DENUNCIA VIAL,VEHÍCULO MAL ESTACIONADO,DENUNCIA,2018-05-28,RECOLETA,PEÑA,2789,App,masculino,Cerrado
00632306/18,TRÁNSITO,DENUNCIA VIAL,VEHÍCULO MAL ESTACIONADO,DENUNCIA,2018-05-28,FLORES,CUENCA,787,App,femenino,Cerrado
00632307/18,TRÁMITES Y SERVICIOS,TRÁMITES ANTE GCBA,SOLICITUD DE PAGO VOLUNTARIO DE INFRACCIONES,SERVICIO,2018-05-28,SAN NICOLÁS,URUGUAY AV.,753,Web,masculino,Cerrado
00632308/18,LIMPIEZA Y RECOLECCIÓN,CESTOS Y CONTENEDORES,LIMPIEZA/VACIADO DE CONTENEDOR,SOLICITUD,2018-05-28,VILLA LURO,ALBARIÑO,240,147,femenino,Cerrado
00632309/18,TRÁMITES Y SERVICIOS,SERVICIOS DEL GCBA,SOLICITUD DE PARTIDAS,SERVICIO,2018-05-28,SAN NICOLÁS,VIAMONTE,1453,Web,femenino,Cerrado
00632310/18,TRÁMITES Y SERVICIOS,SERVICIOS DEL GCBA,SOLICITUD DE PARTIDAS,SERVICIO,2018-05-28,VILLA LURO,CAMARONES,5545,Web,femenino,Cerrado
00632311/18,LIMPIEZA Y RECOLECCIÓN,CESTOS Y CONTENEDORES,REUBICACIÓN DE CONTENEDOR,SOLICITUD,2018-05-28,PALERMO,MALABIA,2360,Web,desconocido,Cerrado
00632312/18,TRÁMITES Y SERVICIOS,TRÁMITES ANTE GCBA,SOLICITUD DE PAGO VOLUNTARIO DE INFRACCIONES,SERVICIO,2018-05-28,VILLA CRESPO,"JUSTO, JUAN B. AV.",3367,Web,masculino,Cerrado
00632313/18,LIMPIEZA Y RECOLECCIÓN,LIMPIEZA DE VÍA PÚBLICA,VEREDA SUCIA POR MASCOTAS,REPORTE,2018-05-28,ALMAGRO,HUMAHUACA,4200,Web,femenino,Abierto
00632314/18,TRÁMITES Y SERVICIOS,TRÁMITES ANTE GCBA,SOLICITUD DE PAGO VOLUNTARIO DE INFRACCIONES,SERVICIO,2018-05-28,VILLA CRESPO,WARNES AV.,1235,Web,masculino,Cerrado
00632315/18,MEDIOS DE TRANSPORTE,SUBTES,DEMORAS - SUBTE,QUEJA,2018-05-28,BALVANERA,CORRIENTES AV.,,Web,femenino,Abierto
00632316/18,TRÁMITES Y SERVICIOS,SERVICIOS DEL GCBA,SOLICITUD DE PARTIDAS,SERVICIO,2018-05-28,RETIRO,CORDOBA AV.,669,Web,masculino,Cerrado
00632317/18,TRÁMITES Y SERVICIOS,SERVICIOS DEL GCBA,SOLICITUD DE PARTIDAS,SERVICIO,2018-05-28,MONSERRAT,BOLIVAR,645,Web,femenino,Cerrado
00632318/18,LIMPIEZA Y RECOLECCIÓN,RESIDUOS VOLUMINOSOS,RETIRO DE ESCOMBROS / RESTOS DE OBRA,SERVICIO,2018-05-28,PALERMO,CHARCAS,4473,147,femenino,Cerrado
00632319/18,CALLES Y VEREDAS,REPARACIÓN DE VEREDA,REPARACIÓN DE VEREDA,SOLICITUD,2018-05-28,FLORES,BACACAY,2632,147,masculino,Cerrado
00632320/18,LIMPIEZA Y RECOLECCIÓN,RESIDUOS VOLUMINOSOS,RETIRO DE ESCOMBROS / RESTOS DE OBRA,SERVICIO,2018-05-28,VILLA GRAL. MITRE,"ESCALADA DE SAN MARTIN, R.",2342,147,femenino,Cerrado
00632321/18,TRÁMITES Y SERVICIOS,SERVICIOS DEL GCBA,DESAGOTE DE POZO CIEGO (ATMOSFÉRICO),SERVICIO,2018-05-28,VILLA LUGANO,"PERON, EVA AV.",6600,Web,masculino,Cerrado
00632322/18,TRÁMITES Y SERVICIOS,SERVICIOS DEL GCBA,SOLICITUD DE PARTIDAS,SERVICIO,2018-05-28,VILLA URQUIZA,BLANCO ENCALADA,5250,Web,masculino,Abierto
