periodo,fecha,desde,hasta,linea,molinete,estacion,pagos,pases_pagos,franq,total
201803,12/03/2018,18:45:00,19:00:00,LINEA_B,LINEA_B_FLORIDA_E_TURN02,FLORIDA,52,0,0,52
201803,12/03/2018,18:45:00,19:00:00,LINEA_B,LINEA_B_GALLARDO_N_TURN02,ANGEL GALLARDO,37,0,0,37
201803,12/03/2018,18:45:00,19:00:00,LINEA_B,LINEA_B_JMROSAS_ESTE_TURN02,ROSAS,22,0,3,25
201803,12/03/2018,18:45:00,19:00:00,LINEA_B,LINEA_B_JMROSAS_OESTE_TURN06,ROSAS,25,0,0,25
201803,12/03/2018,18:45:00,19:00:00,LINEA_B,LINEA_B_LACROZE_E_TURN01,FEDERICO LACROZE,7,0,0,7
201803,12/03/2018,18:45:00,19:00:00,LINEA_B,LINEA_B_LACROZE_O_TURN05,FEDERICO LACROZE,0,1,0,1
201803,12/03/2018,18:45:00,19:00:00,LINEA_B,LINEA_B_MEDRANO_N_TURN02,MEDRANO,70,0,4,74
201803,12/03/2018,18:45:00,19:00:00,LINEA_B,LINEA_B_PASTEUR_S_TURN01,PASTEUR,54,0,5,59
201803,12/03/2018,18:45:00,19:00:00,LINEA_B,LINEA_B_PELLEGRINI_E_TURN01,CARLOS PELLEGRINI,31,0,0,31
201803,12/03/2018,18:45:00,19:00:00,LINEA_B,LINEA_B_PELLEGRINI_E_TURN03,CARLOS PELLEGRINI,0,0,1,1
201803,12/03/2018,18:45:00,19:00:00,LINEA_B,LINEA_B_PELLEGRINI_E_TURN04,CARLOS PELLEGRINI,38,0,2,40
201803,12/03/2018,18:45:00,19:00:00,LINEA_B,LINEA_B_TRONADOR_TURN03,TRONADOR,24,0,0,24
201803,12/03/2018,18:45:00,19:00:00,LINEA_B,LINEA_B_URUGUAY_N_TURN03,URUGUAY,23,0,0,23
201803,12/03/2018,18:45:00,19:00:00,LINEA_B,LINEA_B_URUGUAY_S_TURN01,URUGUAY,60,0,2,62
201803,12/03/2018,18:45:00,19:00:00,LINEA_C,LINEA_C_AVMAYO_N_TURN01,AVENIDA DE MAYO,30,0,3,33
201803,12/03/2018,18:45:00,19:00:00,LINEA_C,LINEAC_CONSTITUCION_PLAZA_TURN11,CONSTITUCION,37,0,0,37
201803,12/03/2018,18:45:00,19:00:00,LINEA_C,LINEA_C_CONSTITUCION_TURN07,CONSTITUCION,2,0,0,2
201803,12/03/2018,18:45:00,19:00:00,LINEA_C,LINEA_C_CONSTITUCION_TURN13,CONSTITUCION,15,0,0,15
201803,12/03/2018,18:45:00,19:00:00,LINEA_C,LINEA_C_INDEPEN_TURN01,INDEPENDENCIA,12,0,0,12
201803,12/03/2018,18:45:00,19:00:00,LINEA_C,LINEA_C_LAVALLE_N_TURN01,LAVALLE,48,0,2,50
201803,12/03/2018,18:45:00,19:00:00,LINEA_C,LINEA_C_MORENO_N_TURN02,MARIANO MORENO,23,0,0,23
201803,12/03/2018,18:45:00,19:00:00,LINEA_D,LINEA_D_9JULIO_N_TURN02,9 DE JULIO,3,0,0,3
201803,12/03/2018,18:45:00,19:00:00,LINEA_D,LINEA_D_AGUERO_TURN03,AGUERO,56,0,0,56
201803,12/03/2018,18:45:00,19:00:00,LINEA_D,LINEA_D_BULNES_N_TURN01,BULNES,48,0,0,48
201803,12/03/2018,18:45:00,19:00:00,LINEA_D,LINEA_D_BULNES_N_TURN02,BULNES,43,0,2,45
201803,12/03/2018,18:45:00,19:00:00,LINEA_D,LINEA_D_BULNES_S_TURN01,BULNES,68,0,2,70
201803,12/03/2018,18:45:00,19:00:00,LINEA_D,LINEA_D_CARRANZA_TURN01,MINISTRO CARRANZA,62,0,2,64
201803,12/03/2018,18:45:00,19:00:00,LINEA_D,LINEA_D_CONGRESOTUC_O_TURN03,CONGRESO DE TUCUMAN,69,0,0,69
201803,12/03/2018,18:45:00,19:00:00,LINEA_D,LINEA_D_FMEDICINA_S_TURN04,FACULTAD DE MEDICINA,1,0,1,2
201803,12/03/2018,18:45:00,19:00:00,LINEA_D,LINEA_D_J_HERNANDEZ_OESTE_TURN02,JOSE HERNANDEZ,15,0,0,15
201803,12/03/2018,18:45:00,19:00:00,LINEA_D,LINEA_D_J_HERNANDEZ_OESTE_TURN04,JOSE HERNANDEZ,21,0,2,23
